track,remix_index,effects,has_vocals
120303,1,vocal_cover;mild_reverb,True
120303,2,vocal_cover;slight_time_stretch,True
120303,3,vocal_cover;subtle_pitch_shift,True
120303,4,vocal_cover;gentle_eq,True
120303,5,vocal_cover;mild_distortion,True
120303,6,vocal_cover;light_chorus,True
120303,7,vocal_cover;gentle_delay;gentle_eq,True
120303,8,vocal_cover;gentle_delay,True
120303,9,vocal_cover;gentle_delay;light_chorus,True
120303,10,vocal_cover;slight_time_stretch;gentle_delay,True
120303,11,vocal_cover;light_chorus;slight_time_stretch,True
120303,12,vocal_cover;mild_reverb,True
120303,13,vocal_cover;mild_reverb,True
120303,14,vocal_cover;mild_distortion,True
120303,15,vocal_cover;subtle_pitch_shift;gentle_delay,True
120303,16,vocal_cover;mild_distortion,True
120303,17,vocal_cover;subtle_pitch_shift,True
120303,18,vocal_cover;mild_distortion;slight_time_stretch,True
120303,19,vocal_cover;light_chorus,True
120303,20,vocal_cover;subtle_pitch_shift;gentle_eq,True
120303,21,vocal_cover;slight_time_stretch;mild_reverb,True
120303,22,vocal_cover;gentle_eq,True
120303,23,vocal_cover;mild_distortion;light_chorus,True
120303,24,vocal_cover;subtle_pitch_shift;mild_distortion,True
120303,25,vocal_cover;mild_reverb;mild_distortion,True
120303,26,vocal_cover;gentle_delay,True
120303,27,vocal_cover;subtle_pitch_shift,True
120303,28,vocal_cover;subtle_pitch_shift,True
120303,29,vocal_cover;mild_reverb,True
120303,30,vocal_cover;mild_reverb;light_chorus,True
120317,1,vocal_cover;mild_reverb;gentle_delay,True
120317,2,vocal_cover;gentle_eq,True
120317,3,vocal_cover;subtle_pitch_shift,True
120317,4,vocal_cover;gentle_eq;mild_reverb,True
120317,5,vocal_cover;light_chorus,True
120317,6,vocal_cover;gentle_delay,True
120317,7,vocal_cover;mild_distortion,True
120317,8,vocal_cover;mild_reverb,True
120317,9,vocal_cover;mild_distortion;light_chorus,True
120317,10,vocal_cover;gentle_delay;mild_distortion,True
120317,11,vocal_cover;mild_distortion,True
120317,12,vocal_cover;gentle_delay;light_chorus,True
120317,13,vocal_cover;slight_time_stretch,True
120317,14,vocal_cover;mild_reverb;slight_time_stretch,True
120317,15,vocal_cover;subtle_pitch_shift,True
120317,16,vocal_cover;gentle_delay;slight_time_stretch,True
120317,17,vocal_cover;light_chorus,True
120317,18,vocal_cover;mild_distortion;slight_time_stretch,True
120317,19,vocal_cover;gentle_eq,True
120317,20,vocal_cover;slight_time_stretch;light_chorus,True
120317,21,vocal_cover;gentle_eq,True
120317,22,vocal_cover;gentle_eq;mild_distortion,True
120317,23,vocal_cover;mild_distortion,True
120317,24,vocal_cover;slight_time_stretch;gentle_eq,True
120317,25,vocal_cover;slight_time_stretch,True
120317,26,vocal_cover;gentle_eq;gentle_delay,True
120317,27,vocal_cover;slight_time_stretch;subtle_pitch_shift,True
120317,28,vocal_cover;mild_distortion,True
120317,29,vocal_cover;mild_reverb,True
120317,30,vocal_cover;mild_reverb;mild_distortion,True
131554,1,vocal_cover;mild_distortion,True
131554,2,vocal_cover;gentle_eq,True
131554,3,vocal_cover;gentle_eq;mild_reverb,True
131554,4,vocal_cover;light_chorus,True
131554,5,vocal_cover;gentle_delay,True
131554,6,vocal_cover;mild_reverb,True
131554,7,vocal_cover;slight_time_stretch,True
131554,8,vocal_cover;slight_time_stretch;light_chorus,True
131554,9,vocal_cover;mild_reverb;light_chorus,True
131554,10,vocal_cover;slight_time_stretch;gentle_delay,True
131554,11,vocal_cover;subtle_pitch_shift;light_chorus,True
131554,12,vocal_cover;light_chorus;mild_distortion,True
131554,13,vocal_cover;gentle_eq,True
131554,14,vocal_cover;subtle_pitch_shift,True
131554,15,vocal_cover;slight_time_stretch,True
131554,16,vocal_cover;mild_distortion;gentle_delay,True
131554,17,vocal_cover;gentle_delay,True
131554,18,vocal_cover;mild_reverb;slight_time_stretch,True
131554,19,vocal_cover;slight_time_stretch,True
131554,20,vocal_cover;light_chorus,True
131554,21,vocal_cover;mild_distortion,True
131554,22,vocal_cover;mild_reverb,True
131554,23,vocal_cover;mild_reverb;gentle_delay,True
131554,24,vocal_cover;mild_reverb,True
131554,25,vocal_cover;light_chorus,True
131554,26,vocal_cover;gentle_eq;mild_distortion,True
131554,27,vocal_cover;subtle_pitch_shift,True
131554,28,vocal_cover;mild_distortion;slight_time_stretch,True
131554,29,vocal_cover;light_chorus;gentle_eq,True
131554,30,vocal_cover;gentle_delay;gentle_eq,True
043868,1,vocal_cover;gentle_eq,True
043868,2,vocal_cover;mild_distortion,True
043868,3,vocal_cover;mild_distortion;gentle_delay,True
043868,4,vocal_cover;slight_time_stretch;gentle_eq,True
043868,5,vocal_cover;mild_reverb;subtle_pitch_shift,True
043868,6,vocal_cover;mild_distortion;light_chorus,True
043868,7,vocal_cover;slight_time_stretch;light_chorus,True
043868,8,vocal_cover;subtle_pitch_shift,True
043868,9,vocal_cover;gentle_delay,True
043868,10,vocal_cover;mild_distortion;subtle_pitch_shift,True
043868,11,vocal_cover;slight_time_stretch,True
043868,12,vocal_cover;light_chorus,True
043868,13,vocal_cover;mild_reverb,True
043868,14,vocal_cover;gentle_delay,True
043868,15,vocal_cover;light_chorus,True
043868,16,vocal_cover;mild_distortion;slight_time_stretch,True
043868,17,vocal_cover;light_chorus,True
043868,18,vocal_cover;gentle_eq,True
043868,19,vocal_cover;gentle_eq;subtle_pitch_shift,True
043868,20,vocal_cover;subtle_pitch_shift;gentle_delay,True
043868,21,vocal_cover;light_chorus,True
043868,22,vocal_cover;light_chorus,True
043868,23,vocal_cover;subtle_pitch_shift,True
043868,24,vocal_cover;gentle_eq;mild_distortion,True
043868,25,vocal_cover;gentle_delay;light_chorus,True
043868,26,vocal_cover;slight_time_stretch;gentle_delay,True
043868,27,vocal_cover;gentle_delay;gentle_eq,True
043868,28,vocal_cover;subtle_pitch_shift;light_chorus,True
043868,29,vocal_cover;mild_distortion,True
043868,30,vocal_cover;mild_reverb;gentle_delay,True
107025,1,vocal_cover;subtle_pitch_shift,True
107025,2,vocal_cover;light_chorus;gentle_delay,True
107025,3,vocal_cover;subtle_pitch_shift;light_chorus,True
107025,4,vocal_cover;gentle_eq,True
107025,5,vocal_cover;slight_time_stretch,True
107025,6,vocal_cover;mild_distortion,True
107025,7,vocal_cover;gentle_delay,True
107025,8,vocal_cover;slight_time_stretch;gentle_delay,True
107025,9,vocal_cover;mild_reverb,True
107025,10,vocal_cover;gentle_delay;subtle_pitch_shift,True
107025,11,vocal_cover;light_chorus,True
107025,12,vocal_cover;light_chorus,True
107025,13,vocal_cover;subtle_pitch_shift;gentle_eq,True
107025,14,vocal_cover;mild_distortion,True
107025,15,vocal_cover;slight_time_stretch,True
107025,16,vocal_cover;gentle_eq;mild_distortion,True
107025,17,vocal_cover;light_chorus,True
107025,18,vocal_cover;mild_reverb;gentle_eq,True
107025,19,vocal_cover;light_chorus;slight_time_stretch,True
107025,20,vocal_cover;subtle_pitch_shift;mild_reverb,True
107025,21,vocal_cover;gentle_delay;gentle_eq,True
107025,22,vocal_cover;light_chorus,True
107025,23,vocal_cover;subtle_pitch_shift,True
107025,24,vocal_cover;gentle_delay;mild_distortion,True
107025,25,vocal_cover;slight_time_stretch,True
107025,26,vocal_cover;mild_distortion;subtle_pitch_shift,True
107025,27,vocal_cover;slight_time_stretch;mild_reverb,True
107025,28,vocal_cover;slight_time_stretch,True
107025,29,vocal_cover;mild_distortion,True
